schema_version,cell_id,substrate,method_id,mean_native_codebook_bytes,mean_native_observation_bytes,mean_runtime_state_bytes,mean_peak_cuda_memory_bytes,mean_peak_cpu_memory_bytes
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,global,82560.0,2048.0,8192.0,10042564.0,1097952256.0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,oracle_truth_included_half,41280.0,2048.0,8192.0,9988488.0,1098148864.0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,oracle_truth_included_quarter,24768.0,2048.0,8192.0,9962376.0,1098148864.0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,random_unconditional_half,41280.0,2048.0,8192.0,10001236.0,1097954304.0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,random_unconditional_quarter,24768.0,2048.0,8192.0,9994656.0,1097958400.0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,semantic_l2_half,41280.0,2048.0,8192.0,9994316.0,1098146816.0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,semantic_l2_quarter,24768.0,2048.0,8192.0,9994624.0,1098148864.0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,global,163840.0,4096.0,16544.0,10695852.0,1097447424.0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,oracle_truth_included_half,163840.0,4096.0,16464.0,10287992.0,1098148864.0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,oracle_truth_included_quarter,163840.0,4096.0,16432.0,10163656.0,1098148864.0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,random_unconditional_half,163840.0,4096.0,16464.0,10304528.0,1097954304.0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,random_unconditional_quarter,163840.0,4096.0,16432.0,10203308.0,1097956352.0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,semantic_l2_half,163840.0,4096.0,16464.0,10284152.0,1097961472.0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,semantic_l2_quarter,163840.0,4096.0,16432.0,10196396.0,1098148864.0
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,BCF,global,82560.0,2048.0,8192.0,9827192.0,1094832128.0
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,BCF,oracle_truth_included_half,41280.0,2048.0,8192.0,9791088.0,1095217152.0
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,BCF,oracle_truth_included_quarter,24768.0,2048.0,8192.0,9758816.0,1095219200.0
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,BCF,random_unconditional_half,41280.0,2048.0,8192.0,9803448.0,1094832128.0
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,BCF,random_unconditional_quarter,24768.0,2048.0,8192.0,9791432.0,1094836224.0
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,BCF,semantic_l2_half,41280.0,2048.0,8192.0,9780136.0,1095215104.0
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,BCF,semantic_l2_quarter,24768.0,2048.0,8192.0,9779448.0,1095217152.0
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,MAP,global,163840.0,4096.0,16544.0,10480488.0,1093822464.0
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,MAP,oracle_truth_included_half,163840.0,4096.0,16464.0,10081544.0,1095217152.0
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,MAP,oracle_truth_included_quarter,163840.0,4096.0,16432.0,9960096.0,1095219200.0
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,MAP,random_unconditional_half,163840.0,4096.0,16464.0,10097960.0,1094832128.0
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,MAP,random_unconditional_quarter,163840.0,4096.0,16432.0,10005560.0,1094836224.0
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,MAP,semantic_l2_half,163840.0,4096.0,16464.0,10070992.0,1094844416.0
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,MAP,semantic_l2_quarter,163840.0,4096.0,16432.0,9982200.0,1095217152.0
level1f3-single-product-v1,EASY_SINGLE,BCF,global,30960.0,2048.0,6144.0,9058592.0,1088450560.0
level1f3-single-product-v1,EASY_SINGLE,BCF,oracle_truth_included_half,18576.0,2048.0,6144.0,9047152.0,1088468992.0
level1f3-single-product-v1,EASY_SINGLE,BCF,oracle_truth_included_quarter,12384.0,2048.0,6144.0,9033680.0,1088471040.0
level1f3-single-product-v1,EASY_SINGLE,BCF,random_unconditional_half,18576.0,2048.0,6144.0,9049112.0,1088452608.0
level1f3-single-product-v1,EASY_SINGLE,BCF,random_unconditional_quarter,12384.0,2048.0,6144.0,9046800.0,1088454656.0
level1f3-single-product-v1,EASY_SINGLE,BCF,semantic_l2_half,18576.0,2048.0,6144.0,9041400.0,1088466944.0
level1f3-single-product-v1,EASY_SINGLE,BCF,semantic_l2_quarter,12384.0,2048.0,6144.0,9042904.0,1088468992.0
level1f3-single-product-v1,EASY_SINGLE,MAP,global,15360.0,1024.0,3132.0,9102432.0,1087072256.0
level1f3-single-product-v1,EASY_SINGLE,MAP,oracle_truth_included_half,15360.0,1024.0,3108.0,9047040.0,1088468992.0
level1f3-single-product-v1,EASY_SINGLE,MAP,oracle_truth_included_quarter,15360.0,1024.0,3096.0,9037328.0,1088471040.0
level1f3-single-product-v1,EASY_SINGLE,MAP,random_unconditional_half,15360.0,1024.0,3108.0,9050080.0,1088452608.0
level1f3-single-product-v1,EASY_SINGLE,MAP,random_unconditional_quarter,15360.0,1024.0,3096.0,9054736.0,1088452608.0
level1f3-single-product-v1,EASY_SINGLE,MAP,semantic_l2_half,15360.0,1024.0,3108.0,9042144.0,1088466944.0
level1f3-single-product-v1,EASY_SINGLE,MAP,semantic_l2_quarter,15360.0,1024.0,3096.0,9047056.0,1088468992.0
