schema_version,cell_id,substrate,k_label,global_method,random_method,semantic_method,oracle_method,global_exact_recovery,global_exact_ci_low,global_exact_ci_high,random_unconditional_exact_recovery,random_unconditional_ci_low,random_unconditional_ci_high,semantic_l2_exact_recovery,semantic_l2_ci_low,semantic_l2_ci_high,oracle_truth_included_exact_recovery,oracle_truth_included_ci_low,oracle_truth_included_ci_high
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,BCF,half,global,random_unconditional_half,semantic_l2_half,oracle_truth_included_half,0.070312,0.037429,0.128236,0.046875,0.021658,0.098499,0.34375,0.2671,0.429505,0.671875,0.586562,0.747171
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,BCF,quarter,global,random_unconditional_quarter,semantic_l2_quarter,oracle_truth_included_quarter,0.070312,0.037429,0.128236,0.007812,0.00138,0.042927,0.289062,0.217583,0.372835,1.0,0.970862,1.0
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,MAP,half,global,random_unconditional_half,semantic_l2_half,oracle_truth_included_half,0.195312,0.135939,0.272442,0.054688,0.02674,0.108586,0.359375,0.281466,0.445479,0.953125,0.901501,0.978342
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,MAP,quarter,global,random_unconditional_quarter,semantic_l2_quarter,oracle_truth_included_quarter,0.195312,0.135939,0.272442,0.007812,0.00138,0.042927,0.289062,0.217583,0.372835,1.0,0.970862,1.0
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,BCF,half,global,random_unconditional_half,semantic_l2_half,oracle_truth_included_half,0.078125,0.033831,0.170198,0.03125,0.008612,0.106975,0.203125,0.122733,0.317139,0.625,0.502502,0.733342
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,BCF,quarter,global,random_unconditional_quarter,semantic_l2_quarter,oracle_truth_included_quarter,0.078125,0.033831,0.170198,0.0,0.0,0.056626,0.15625,0.087147,0.264283,1.0,0.943374,1.0
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,MAP,half,global,random_unconditional_half,semantic_l2_half,oracle_truth_included_half,0.125,0.064722,0.227748,0.046875,0.016069,0.128999,0.21875,0.135022,0.33433,0.890625,0.791011,0.946
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,MAP,quarter,global,random_unconditional_quarter,semantic_l2_quarter,oracle_truth_included_quarter,0.125,0.064722,0.227748,0.0,0.0,0.056626,0.15625,0.087147,0.264283,1.0,0.943374,1.0
level1f4-analysis-v1,EASY_SINGLE,BCF,half,global,random_unconditional_half,semantic_l2_half,oracle_truth_included_half,1.0,0.943374,1.0,0.265625,0.172962,0.384831,0.421875,0.308696,0.543902,1.0,0.943374,1.0
level1f4-analysis-v1,EASY_SINGLE,BCF,quarter,global,random_unconditional_quarter,semantic_l2_quarter,oracle_truth_included_quarter,1.0,0.943374,1.0,0.125,0.064722,0.227748,0.203125,0.122733,0.317139,1.0,0.943374,1.0
level1f4-analysis-v1,EASY_SINGLE,MAP,half,global,random_unconditional_half,semantic_l2_half,oracle_truth_included_half,1.0,0.943374,1.0,0.265625,0.172962,0.384831,0.421875,0.308696,0.543902,1.0,0.943374,1.0
level1f4-analysis-v1,EASY_SINGLE,MAP,quarter,global,random_unconditional_quarter,semantic_l2_quarter,oracle_truth_included_quarter,1.0,0.943374,1.0,0.125,0.064722,0.227748,0.203125,0.122733,0.317139,1.0,0.943374,1.0
