arm_id,context_condition,pair_completeness,match_f1,truth_pair_irrecoverably_excluded_rate,candidate_comparisons,controller_overhead,utility
native_standard_blocking,correct_context,0.998,0.9984977466199298,0.002,1430,0.044880100060254335,993.9714
random_size_matched_blocking,correct_context,0.707,0.8283538371411834,0.293,931,0.029453399998601526,413.98138
external_context_blocking,correct_context,0.912,0.9539748953974896,0.088,912,0.027836599969305098,823.98176
external_context_blocking_with_safe_fallback,correct_context,0.912,0.9984977466199298,0.0,1042,0.02874030004022643,989.57916
native_standard_blocking,missing_context,0.998,0.9984977466199298,0.002,1430,0.044701899925712496,993.9714
random_size_matched_blocking,missing_context,0.795,0.8851727982162765,0.205,1002,0.03172880003694445,587.97996
external_context_blocking,missing_context,0.627,0.7707437000614629,0.373,628,0.021333099983166903,253.98744
external_context_blocking_with_safe_fallback,missing_context,0.627,0.9984977466199298,0.0,2058,0.02066819998435676,943.9588399999999
native_standard_blocking,ambiguous_context,0.998,0.9984977466199298,0.002,1430,0.043166100047528744,993.9714
random_size_matched_blocking,ambiguous_context,0.935,0.9658738366080661,0.065,1143,0.03749569988576695,867.97714
external_context_blocking,ambiguous_context,0.935,0.9658738366080661,0.065,1143,0.037274999951478094,867.97714
external_context_blocking_with_safe_fallback,ambiguous_context,0.935,0.9984977466199298,0.0,1222,0.03633910010103136,990.67556
native_standard_blocking,incorrect_context_10_percent,0.998,0.9984977466199298,0.002,1430,0.04408059996785596,993.9714
random_size_matched_blocking,incorrect_context_10_percent,0.713,0.8324576765907764,0.287,937,0.03153130004648119,425.98125999999996
external_context_blocking,incorrect_context_10_percent,0.904,0.9495798319327731,0.096,925,0.03376910003134981,807.9815
external_context_blocking_with_safe_fallback,incorrect_context_10_percent,0.904,0.9984977466199298,0.0,1057,0.03420609992463142,989.17886
native_standard_blocking,incorrect_context_25_percent,0.998,0.9984977466199298,0.002,1430,0.044437000004108995,993.9714
random_size_matched_blocking,incorrect_context_25_percent,0.627,0.7707437000614629,0.373,628,0.022691400023177266,253.98744
external_context_blocking,incorrect_context_25_percent,0.879,0.9356040447046301,0.121,933,0.03317460004473105,757.9813399999999
external_context_blocking_with_safe_fallback,incorrect_context_25_percent,0.879,0.9984977466199298,0.0,1100,0.03324300009990111,987.928
native_standard_blocking,incorrect_context_40_percent,0.998,0.9984977466199298,0.002,1430,0.0447959000011906,993.9714
random_size_matched_blocking,incorrect_context_40_percent,0.764,0.8655700510493477,0.236,989,0.03505740006221458,525.98022
external_context_blocking,incorrect_context_40_percent,0.871,0.9310529128808124,0.129,954,0.03300989989656955,741.98092
external_context_blocking_with_safe_fallback,incorrect_context_40_percent,0.871,0.9984977466199298,0.0,1143,0.03297409997321665,987.5271399999999
native_standard_blocking,unknown_context,0.998,0.9984977466199298,0.002,1430,0.043998299981467426,993.9714
random_size_matched_blocking,unknown_context,0.912,0.9539748953974896,0.088,912,0.029551800049375743,823.98176
external_context_blocking,unknown_context,0.627,0.7707437000614629,0.373,628,0.02335739997215569,253.98744
external_context_blocking_with_safe_fallback,unknown_context,0.627,0.9984977466199298,0.0,2058,0.020397000014781952,943.9588399999999
oracle_blocking_ceiling,correct_context,0.998,0.9984977466199298,0.0,1002,0.0,993.97996
