schema_version,cell_id,arm_id,substrate,mean_persistent_spec_bytes,mean_persistent_generator_bytes,mean_runtime_materialized_bytes,mean_runtime_observation_bytes,mean_runtime_decoder_state_bytes
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m10,bcf_d512_f3_b4,BCF,65.0,0.0,70112.0,2048.0,6144.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m10,generic_random_linear_mix,GENERIC_LINEAR,794.0,750.0,1626.0,63.0,813.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m10,map_d1024,MAP,40.0,0.0,139384.0,4096.0,12408.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m10,map_d1024_step32_r4_best_native_reconstruction,MAP,77.0,0.0,139384.0,4096.0,12408.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m10,neco_reproduced_direct_sum,NECO,794.0,750.0,1563.0,63.0,750.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m10,packed_symbolic_tuple,PACKED,70.0,0.0,2.0,2.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m22,bcf_d512_f3_b4,BCF,65.0,0.0,144416.0,2048.0,6144.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m22,generic_random_linear_mix,GENERIC_LINEAR,982.0,938.0,2002.0,63.0,1001.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m22,map_d1024,MAP,40.0,0.0,286984.0,4096.0,12552.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m22,map_d1024_step32_r4_best_native_reconstruction,MAP,77.0,0.0,286984.0,4096.0,12552.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m22,neco_reproduced_direct_sum,NECO,982.0,938.0,1939.0,63.0,938.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m22,packed_symbolic_tuple,PACKED,70.0,0.0,2.0,2.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m31,bcf_d512_f3_b4,BCF,65.0,0.0,200144.0,2048.0,6144.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m31,generic_random_linear_mix,GENERIC_LINEAR,982.0,938.0,2002.0,63.0,1001.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m31,map_d1024,MAP,40.0,0.0,397684.0,4096.0,12660.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m31,map_d1024_step32_r4_best_native_reconstruction,MAP,77.0,0.0,397684.0,4096.0,12660.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m31,neco_reproduced_direct_sum,NECO,982.0,938.0,1939.0,63.0,938.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m31,packed_symbolic_tuple,PACKED,70.0,0.0,2.0,2.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m68,bcf_d512_f3_b4,BCF,65.0,0.0,429248.0,2048.0,6144.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m68,generic_random_linear_mix,GENERIC_LINEAR,1357.0,1313.0,2752.0,63.0,1376.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m68,map_d1024,MAP,40.0,0.0,852784.0,4096.0,13104.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m68,map_d1024_step32_r4_best_native_reconstruction,MAP,77.0,0.0,852784.0,4096.0,13104.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m68,neco_reproduced_direct_sum,NECO,1357.0,1313.0,2689.0,63.0,1313.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m68,packed_symbolic_tuple,PACKED,70.0,0.0,3.0,3.0,0.0
